"Ajavahemik","Väärtus"
"veebruar 2021",0.9
"märts 2021",0.6
"aprill 2021",1.1
"mai 2021",2
"juuni 2021",3.2
"juuli 2021",4.3
"august 2021",5.1
"september 2021",6.4
"oktoober 2021",6.2
"november 2021",8.1
"detsember 2021",11.4
"jaanuar 2022",11.3
"veebruar 2022",13
"märts 2022",16
"aprill 2022",20.1
"mai 2022",22.4
"juuni 2022",25.7
"juuli 2022",28.2
"august 2022",31.1
"september 2022",31.5
"oktoober 2022",30.1
"november 2022",31.2
"detsember 2022",31
"jaanuar 2023",32
"veebruar 2023",32.8
"märts 2023",33.7
"aprill 2023",36.3
"mai 2023",36.3
"juuni 2023",37.3
"juuli 2023",36.4
"august 2023",37.1
"september 2023",37.1
"oktoober 2023",36.5
"november 2023",36.5